,precision,recall,f1-score,support
Casual Shoes,0.8423423423423423,0.656140350877193,0.73767258382643,285.0
Shirts,0.9787234042553191,0.8571428571428571,0.9139072847682119,322.0
Sports Shoes,0.6484375,0.8177339901477833,0.7233115468409586,203.0
Tshirts,0.9175392670157068,0.9915134370579916,0.9530931339225017,707.0
Watches,1.0,0.9724409448818898,0.9860279441117764,254.0
accuracy,0.8904573687182383,0.8904573687182383,0.8904573687182383,0.8904573687182383
macro avg,0.8774085027226736,0.858994316021543,0.8628024986939756,1771.0
weighted avg,0.897543522313882,0.8904573687182383,0.8896866287872452,1771.0
